X,Y,Z
2232805.719004803,702903.6035080041,5925768.806112752
2232794.318535512,702910.2513329295,5925771.453039256
2232790.9279522924,702915.2660417798,5925771.920707378
2232789.429031754,702921.6044104984,5925771.303551502
2232786.6213953607,702932.1994427721,5925770.459527747
2232785.2968977643,702936.7509585303,5925770.418672687
2232781.0221013916,702943.5860323517,5925771.64865419
2232777.54326939,702944.2040703654,5925773.101171967
2232772.4134305036,702942.5890458307,5925775.225628011
2232767.591810814,702941.0282261128,5925777.227514816
2232766.531189237,702940.6086478824,5925777.6769173825
2232747.485653719,702936.7541177876,5925784.450111339
2232744.785776202,702936.3752581822,5925785.512325945
2232740.1256511295,702935.6790694416,5925787.35077142
2232729.2299997373,702935.8465847312,5925791.43619272
2232726.3548364136,702936.2691496594,5925792.684412787
2232713.446835948,702936.8738351051,5925797.691194952
2232700.346696549,702939.1312031036,5925801.069026565
2232697.344130207,702939.8134416131,5925801.904353671
2232686.1706238887,702944.2620396698,5925804.941422836
2232670.4122798275,702948.5091330345,5925810.374915724
2232663.131710808,702951.6134660918,5925812.104650159
2232659.082605958,702953.5080362061,5925812.54533264
2232655.321394718,702955.3219209498,5925813.31718879
2232653.6170816203,702956.1130463233,5925813.43539609
2232646.680533321,702958.4690317602,5925815.124263751
2232639.6653422047,702960.2862745619,5925817.121698212
2232625.915148474,702961.6532840992,5925821.279958188
2232621.2477826006,702961.7684183381,5925822.809748589
2232618.801842978,702961.1267799396,5925823.3773254445
2232618.933769785,702961.2968070168,5925823.522487661
2232611.0041870233,702961.5411855157,5925826.05097548
2232608.715709792,702961.6772218538,5925826.682006154
2232600.182772372,702962.7595064923,5925828.6932894
2232598.486199604,702963.0819038816,5925829.079203979
2232595.565479458,702963.4043236545,5925830.141357682
2232592.874659365,702963.8847862482,5925830.668072324
2232588.9877619194,702964.031472393,5925831.685009342
2232586.5019835876,702964.1053694189,5925832.397736499
2232582.286534794,702964.0629408967,5925833.990959023
2232571.484632454,702964.4307268071,5925836.941798367
2232564.23333546,702964.9313953551,5925839.18426955
2232560.2156854304,702965.2938520099,5925840.654923403
2232550.1191229825,702966.3119455596,5925845.198163345
2232546.1394482213,702966.9433120838,5925847.267706615
2232538.7684653867,702968.6482593475,5925851.347695437
2232536.8103810344,702969.4022164732,5925852.641062089
2232535.7677280414,702969.7591648579,5925853.421604117
2232531.3984719915,702971.0387483166,5925855.345975111
2232526.831912778,702972.2561968829,5925857.352045586
2232525.8423673413,702972.5442064056,5925857.905719705
2232521.646042826,702973.6640821714,5925860.428983294
2232517.6935529057,702975.6316350662,5925862.974857209
2232513.2651005094,702978.1773847364,5925865.41641512
2232512.177398784,702978.7771045612,5925865.970087639
2232511.3325393847,702979.5389467061,5925866.62807445
